ID	File	Language	Dialect	Vernacular Title	Licence Type	Licence Version	CC Licence Link	Copyright Holder	Copyright Years	Translation by
aai	projects/aai/copr.htm	Miniafia			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/			
aak	projects/aak/copr.htm	Angave (Ankave)			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1990	Translation by: Wycliffe Bible Translators
aau	projects/aau/copr.htm	Abau			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2006	Translation by: Wycliffe Bible Translators
aaz	projects/aaz/copr.htm	Amarasi		Uisneno In Kabin ma Prenat: Rais Manba'an Fe'u nok Reta' Ahun-hunut	by-nd	4.0	http://creativecommons.org/licenses/by-nd/4.0/	Unit Bahasa dan Budaya, Kupang NTT, Indonesia	copyright © 1999-2014	Translation by: Wycliffe Bible Translators
abt_maprik	projects/abt_maprik/copr.htm	Ambulas (Maprik) (Ambulas)	Maprik		by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1983	Translation by: Wycliffe Bible Translators
abt_wosera	projects/abt_wosera/copr.htm	Ambulas (Wosera) (Wosera-Kamu dialect of Ambulas)	Wosera-Kamu		by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1996	Translation by: Wycliffe Bible Translators
abx	projects/abx/copr.htm	Inabaknon		I Baha'o Kasuratan	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1996	Translation by: Wycliffe Bible Translators, Inc.
aby	projects/aby/copr.htm	Aneme Wake			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1988	Translation by: Wycliffe Bible Translators
acfNT	projects/acfNT/copr.htm	Saint Lucian Creole French		Tèstèman nèf-la: Épi an posyòn an liv samz-la	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1999	Translation by: Wycliffe Bible Translators, Inc.
acrNNT	projects/acrNNT/copr.htm	Achi	Rabinal	Ri utzilaj tzij re ri kanimajawal Jesucristo	by-nd	4.0	http://creativecommons.org/licenses/by-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2009	Translation by: Wycliffe Bible Translators, Inc.
acrTNT	projects/acrTNT/copr.htm	Achi	Rabinal	Ri utzilaj tzij re ri kanimajawal Jesucristo	by-nd	4.0	http://creativecommons.org/licenses/by-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2009	Translation by: Wycliffe Bible Translators, Inc.
acr_acc	projects/acr_acc/copr.htm	Achi	Cubulco		by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2009	Translation by: Wycliffe Bible Translators, Inc.
